Bishkek,42.8747,74.6122,Kyrgyzstan,KG,Bishkek,primary,1074075,1074075
Osh,40.5333,72.7833,Kyrgyzstan,KG,Osh,admin,322164,322164
Jalal-Abad,40.9333,73.0000,Kyrgyzstan,KG,Jalal-Abad,admin,89004,89004
Karakol,42.4903,78.3917,Kyrgyzstan,KG,Ysyk-Köl,admin,85588,85588
Kara-Balta,42.8333,73.8500,Kyrgyzstan,KG,Chüy,minor,74133,48278
Tokmok,42.8333,75.2833,Kyrgyzstan,KG,Chüy,,53231,53231
Kyzyl-Kyya,40.2611,72.1306,Kyrgyzstan,KG,Batken,,51300,51300
Özgön,40.7667,73.3000,Kyrgyzstan,KG,Osh,,49410,49410
Balykchy,42.4611,76.1803,Kyrgyzstan,KG,Ysyk-Köl,,42380,42380
Bazar-Korgon,41.0417,72.7472,Kyrgyzstan,KG,Jalal-Abad,minor,41011,41011
Talas,42.5167,72.2333,Kyrgyzstan,KG,Talas,admin,40308,40308
Naryn,41.4333,76.0000,Kyrgyzstan,KG,Naryn,admin,34822,34822
Batken,40.0667,70.8167,Kyrgyzstan,KG,Batken,admin,27730,27730
Toktogul,41.8722,72.9389,Kyrgyzstan,KG,Jalal-Abad,minor,26115,20577
Kant,42.8833,74.8500,Kyrgyzstan,KG,Chüy,minor,21589,21400
Nookat,40.2500,72.5500,Kyrgyzstan,KG,Osh,,21049,21049
Kara-Suu,40.7000,72.8833,Kyrgyzstan,KG,Osh,minor,20862,20862
Kara-Köl,41.6311,72.6686
Mayluu-Suu,41.2457,72.4480,Kyrgyzstan,KG,Jalal-Abad,,20200,20200
Tash-Kömür,41.3500,72.2167,Kyrgyzstan,KG,Jalal-Abad,,19310,19310
Раззаков,39.8389,69.5275,Kyrgyzstan,KG,Batken,minor,18244,18244
Kök-Janggak,41.0333,73.2000,Kyrgyzstan,KG,Jalal-Abad,,15000,12117
Kochkor-Ata,41.0319,72.4833,Kyrgyzstan,KG,Jalal-Abad,,14814,14814
Kerben,41.5000,71.7500,Kyrgyzstan,KG,Jalal-Abad,minor,14141,14141
Kadamzhai,40.1267,71.7236,Kyrgyzstan,KG,Batken,,14049,14049
Sülüktü,39.9400,69.5600,Kyrgyzstan,KG,Batken,,13378,13378
Cholpon-Ata,42.6500,77.0833,Kyrgyzstan,KG,Ysyk-Köl,minor,1152
Kemin,42.7861,75.6917,Kyrgyzstan,KG,Chüy,minor,10354,10354
Aydarken,39.9400,71.3300,Kyrgyzstan,KG,Batken,,10331,10331
Kayyngdy,42.8300,73.6800,Kyrgyzstan,KG,Chüy,minor,9561,9561
Orlovka, 42.75,75.5833